eval_name,r1,r2,rk,constant_reward,mag_reward,crashes,agent_name,vehicle,map_name,kernel_mode,kernel_filled,train_n,SSS_avg_times,SSS_success_rate,Wo_avg_times,Wo_success_rate
KernelGen,,,,,,,Rando_1_f1_aut_wide_disc,,f1_aut_wide,disc,,,137.3,100.0,,
RewardSignals,0,0,0.04,0,0,,KernelSSS_1_ZeroT04,KernelSSS,columbia_small,disc,,10000,100.0,100.0,0.0,0.0
Comparision,0.08,0.001,0,,,,Baseline_7,Baseline,columbia_small,,,20000,,,132.9,100.0
Comparision,0.08,0.001,0.04,1,0,,KernelSSS_3,KernelSSS,columbia_small,disc,,10000,122.1,100.0,122.4,100.0
Comparision,0.08,0.001,0.04,1,0,,KernelSSS_2,KernelSSS,columbia_small,disc,,10000,100.5,100.0,101.2,100.0
Comparision,0.08,0.001,0,,,,Baseline_0,Baseline,columbia_small,,,20000,,,,
Comparision,0.08,0.001,0.04,1,0,,KernelSSS_8,KernelSSS,columbia_small,disc,,10000,104.0,100.0,103.0,100.0
RewardSignals,0.08,0.001,0.1,1,0,,KernelSSS_1_ConsRk1,KernelSSS,columbia_small,disc,,10000,103.7,100.0,0.0,0.0
RewardSignals,0,0,0.04,1,0,,KernelSSS_1_ConsT04,KernelSSS,columbia_small,disc,,10000,106.3,100.0,0.0,0.0
Comparision,0.08,0.001,0.04,1,0,,KernelSSS_7,KernelSSS,columbia_small,disc,,10000,105.6,100.0,105.1,100.0
KernelGen,,,,,,,Rando_1_porto_viab,,porto,viab,,,123.6,100.0,,
Comparision,0.08,0.001,0,,,,Baseline_1,Baseline,columbia_small,,,20000,,,100.82,100.0
Comparision,0.08,0.001,0.04,1,0,,KernelSSS_20,KernelSSS,columbia_small,disc,,10000,,,,
Comparision,0.08,0.001,0.04,1,0,,KernelSSS_5,KernelSSS,columbia_small,disc,,10000,145.4,100.0,147.3,100.0
KernelGen,,,,,,,Rando_1_porto_disc,,porto,disc,,,121.1,100.0,,
RewardSignals,0.08,0.001,0,1,0,,KernelSSS_1_StdConstant,KernelSSS,columbia_small,disc,,10000,105.4,100.0,105.9,100.0
KernelGen,,,,,,,Rando_1_columbia_small_viab,,columbia_small,viab,,,113.1,100.0,,
Comparision,0.08,0.001,0.04,1,0,,KernelSSS_0,KernelSSS,columbia_small,disc,,10000,,,,
RewardSignals,0.08,0.001,0,0,0,,KernelSSS_1_StdZeroBaseline,KernelSSS,columbia_small,disc,,10000,99.4,100.0,99.25,100.0
Comparision,0.08,0.001,0,,,,Baseline_4,Baseline,columbia_small,,,20000,,,145.5,100.0
Comparision,0.08,0.001,0.04,1,0,,KernelSSS_9,KernelSSS,columbia_small,disc,,10000,94.2,100.0,94.8,100.0
RewardSignals,0.08,0.001,0.04,1,0,,KernelSSS_1_ConsRk04,KernelSSS,columbia_small,disc,,10000,100.4,100.0,100.2,100.0
Comparision,0.08,0.001,0.04,1,0,,KernelSSS_4,KernelSSS,columbia_small,disc,,10000,92.5,20.0,95.5,20.0
Comparision,0.08,0.001,0,,,,Baseline_2,Baseline,columbia_small,,,20000,,,102.29,100.0
Comparision,0.08,0.001,0,,,,Baseline_8,Baseline,columbia_small,,,20000,,,113.6,100.0
Comparision,0.08,0.001,0,,,,Baseline_5,Baseline,columbia_small,,,20000,,,113.9,100.0
KernelGen,,,,,,,Rando_1_f1_aut_wide_viab,,f1_aut_wide,viab,,,143.8,100.0,,
Comparision,0.08,0.001,0.04,1,0,,KernelSSS_6,KernelSSS,columbia_small,disc,,10000,112.0,100.0,112.0,100.0
Comparision,0.08,0.001,0,,,,Baseline_9,Baseline,columbia_small,,,20000,,,112.45,100.0
Comparision,0.08,0.001,0.04,1,0,,KernelSSS_1,KernelSSS,columbia_small,disc,,10000,97.9,100.0,98.4,100.0
Comparision,0.08,0.001,0,,,,Baseline_6,Baseline,columbia_small,,,20000,,,107.6,100.0
Comparision,0.08,0.001,0,,,,Baseline_3,Baseline,columbia_small,,,20000,,,129.25,100.0
KernelGen,,,,,,,Rando_1_columbia_small_disc,,columbia_small,disc,,,110.7,100.0,,
RewardSignals,0.08,0.001,0,0,1,,KernelSSS_1_StdMagnitude,KernelSSS,columbia_small,disc,,10000,134.15,100.0,134.1,100.0
