EvalName,reward,kernel_reward,sss_reward_scale,r1,r2,kernel_time_step,name,vehicle,avg_times,std_dev,success_rate,test_number,train_time,constant_value,kernel_mode,kernel_filled,n_dx,train_n,learning,learning_mode
StepsSSS,cthRef,Magnitude,1,0.04,0.004,0.1,Kernel_steps_8000_1,kernel,184.16,3.2022492095400694,100.0,1,42.1401903629303,,viab,,80,8000,Continuous,
BaselineComp,cthRef,Magnitude,1,0.04,0.004,0.1,Kernel_ModelSSS_0_2,kernel,64.91,1.4219353009191382,100.0,2,116.25881934165955,,viab,,80,20000,Continuous,
KernelReward,,Constant,0.2,0.04,0.004,0.1,Kernel_Const_0.2_2_1,kernel,51.0,0.0,100.0,1,113.48209238052368,,disc,,80,20000,,Episodic
LearningMode,,Magnitude,1,0.04,0.004,0.1,Kernel_Continuous_const_1_1,kernel,234.32323232323233,2.880895914339537,99.0,1,113.13122510910034,,disc,,80,20000,Continuous,ContinuousConst
KernelReward,,Constant,0.2,0.04,0.004,0.1,Kernel_Const_0.2_3_1,kernel,86.94845360824742,0.484206951167727,97.0,1,110.62558245658875,,disc,,80,20000,,Episodic
Safety,,,,,,0.1,RandoResult_disc_1,random,155.7,2.325940669922601,100.0,1,,0,disc,,80,,,
KernelReward,,Constant,0,0.04,0.004,0.1,Kernel_Const_0_0_1,kernel,0.0,0.0,0.0,1,113.47401165962219,,disc,,80,20000,,Episodic
KernelDiscret_ndx,,,,,,0.1,RandoKernelTest_viab_60,constant,158.46753246753246,2.5966232597051815,77.0,0,,0,viab,0.6950812313251338,60,,,
BaselineComp,cthRef,Magnitude,1,0.04,0.004,0.1,Baseline_cthRef_4_1,baseline,0.0,0.0,0.0,1,113.8815529346466,,viab,,80,20000,Episodic,
KernelReward,,Magnitude,1,0.04,0.004,0.1,Kernel_Mag_1_2_1,kernel,79.59,5.973432848873418,100.0,1,111.46584939956665,,disc,,80,20000,,Episodic
KernelReward,,Constant,0,0.04,0.004,0.1,Kernel_Const_0_4_1,kernel,0.0,0.0,0.0,1,118.97766613960266,,disc,,80,20000,,Episodic
Safety,,,,,,0.1,RandoResult_viab_1,random,157.6,1.3564659966250536,100.0,1,,0,viab,,80,,,
KernelReward,,Constant,1,0.04,0.004,0.1,Kernel_Const_1_4_1,kernel,65.46,4.212884997243576,100.0,1,109.66365051269531,,disc,,80,20000,,Episodic
KernelDiscret_ndx,,,,,,0.1,RandoKernelTest_disc_70,constant,0.0,0.0,0.0,0,,0,disc,0.762714960739351,70,,,
KernelReward,,Constant,0,0.04,0.004,0.1,Kernel_Const_0_2_1,kernel,0.0,0.0,0.0,1,123.24035239219666,,disc,,80,20000,,Episodic
KernelReward,,Magnitude,1,0.04,0.004,0.1,Kernel_Mag_1_3_1,kernel,54.48351648351648,2.1348116079356148,91.0,1,109.61438202857971,,disc,,80,20000,,Episodic
BaselineComp,cthRef,Magnitude,1,0.04,0.004,0.1,Kernel_ModelSSS_0_1,kernel,74.97,1.7913961036018808,100.0,1,112.28712606430054,,viab,,80,20000,Episodic,
KernelReward,,Magnitude,0.2,0.04,0.004,0.1,Kernel_Mag_0.2_4_1,kernel,0.0,0.0,0.0,1,109.69463276863098,,disc,,80,20000,,Episodic
KernelDiscret_ndx,,,,,,0.1,RandoKernelTest_viab_120,constant,158.39,2.1766717713059083,100.0,0,,0,viab,0.700304600097283,120,,,
KernelDiscret_ndx,,,,,,0.1,RandoKernelTest_disc_60,constant,155.07,2.9538280247841104,100.0,0,,0,disc,0.7361521784448614,60,,,
KernelReward,,Magnitude,0.2,0.04,0.004,0.1,Kernel_Mag_0.2_2_1,kernel,52.11,1.7429572570777516,100.0,1,108.48337292671204,,disc,,80,20000,,Episodic
BaselineComp,cthRef,Magnitude,1,0.04,0.004,0.1,Kernel_ModelSSS_1_1,kernel,66.44,1.6329115101560157,100.0,1,111.97497081756592,,viab,,80,20000,Episodic,
KernelDiscret_time,,,,,,0.15,RandoKernelTest_viab_0.15,constant,157.73,2.275324152730771,100.0,0,,0,viab,,80,,,
LearningMode,,Magnitude,1,0.04,0.004,0.1,Kernel_Episodic_mag_1_1,kernel,65.47,4.800947823086604,100.0,1,114.27169585227966,,disc,,80,20000,Episodic,EpisodicMag
