EvalName,reward,kernel_reward,sss_reward_scale,r1,r2,kernel_time_step,name,avg_times,std_dev,success_rate,test_number,train_time
reward,CthCenter,,,0.03,0.004,,bTuning_reward_CthCenter_0.03_2,168.75,8.344309438174019,100.0,2,113.92060589790344
PaperTest,progress,,,,,0.11,RandoKernelTest_0.11,158.82,2.192623998774071,100.0,0,
PaperTest,progress,Magnitude,1,,,0.1,Kernel_Continuous_2,149.6,5.7236352085016735,100.0,2,109.2109444141388
PaperTest,progress,Magnitude,0.7,,,0.1,Kernel_Mag_0.7_0,96.75,7.211622563612158,100.0,0,105.72084164619446
PaperTest,progress,Constant,0,,,0.1,Kernel_Const_0_2,121.87878787878788,4.776357445790053,99.0,2,113.36578845977783
PaperTest,progress,Constant,1,,,0.1,Kernel_Const_1_3,98.22,2.6213736856846643,100.0,3,108.43463706970215
PaperTest,cthRef,,,0.04,,0.1,Baseline_reward_cthRef_0.04_1,69.43434343434343,5.201323872195135,99.0,1,
reward,Steer,,,0.05,0,,bTuning_reward_Steer_0.05_3,91.79,4.259800464810529,100.0,3,102.4769937992096
PaperTest,distCent,,,0.004,,0.1,Baseline_reward_distCent_0.004_1,97.01010101010101,8.08477175517227,99.0,1,120.6724693775177
reward,Steer_05,,,0,0,,bTuning_reward_Steer_05_1,121.43010752688173,9.997201597116275,93.0,1,109.45951819419861
PaperTest,progress,Constant,0.2,,,0.1,Kernel_Const_0.2_0,131.49,3.1733105741480774,100.0,0,104.41006445884705
PaperTest,progress,,,,,0.09,RandoKernelTest_0.09,160.75,2.369071548096427,80.0,0,
PaperTest,cthRef,,,0.04,,0.1,Baseline_reward_cthRef_0.04_2,0.0,0.0,0.0,2,
reward,Steer_02,,,0,0,,bTuning_reward_Steer_02_1,102.09,5.306778683909854,100.0,1,109.88799142837524
reward,CthCenter,,,0.02,0.004,,bTuning_reward_CthCenter_0.02_3,90.2,4.831148931672465,100.0,3,111.75771856307983
PaperTest,progress,,,,,0.15,RandoKernelTest_0.15,157.73,2.275324152730771,100.0,0,
reward,Steer_01,,,0,0,,bTuning_reward_Steer_01_1,141.92929292929293,4.431869262130447,99.0,1,109.51007795333862
PaperTest,progress,Magnitude,1,,,0.1,Kernel_Mag_1_0,152.63,3.055012274934423,100.0,0,106.68465256690979
PaperTest,progress,,,,,0.1,RandoKernelTest_70,0.0,0.0,0.0,0,
PaperTest,progress,Magnitude,0.5,,,0.1,Kernel_Mag_0.5_1,152.79,7.4823726183611035,100.0,1,108.34056425094604
PaperTest,progress,Magnitude,0.7,,,0.1,Kernel_Mag_0.7_4,123.55,6.267974154381941,100.0,4,106.46519660949707
PaperTest,progress,Magnitude,0.7,,,0.1,Kernel_Mag_0.7_3,117.99,3.1320759888610623,100.0,3,106.31334853172302
reward,CthRef,,,0.03,0.004,,bTuning_reward_CthRef_0.03_2,111.36842105263158,4.576950562797639,95.0,2,113.46533012390137
PaperTest,cth,,,0.004,,0.1,Baseline_reward_cth_0.004_1,122.6,7.13582510996451,100.0,1,115.21643924713135
PaperTest,progress,Constant,1,,,0.1,Kernel_Const_1_4,105.45,3.688834504284517,100.0,4,106.35041236877441
PaperTest,progress,Magnitude,0.7,,,0.1,Kernel_Mag_0.7_2,96.84,6.014515774357899,100.0,2,107.45978331565857
PaperTest,progress,Magnitude,1,,,0.1,Kernel_Continuous_3,137.39,2.0044700047643516,100.0,3,109.09549689292908
PaperTest,progress,Constant,0.5,,,0.1,Kernel_Const_0.5_0,115.54,4.189081044811618,100.0,0,105.00809359550476
PaperTest,progress,Magnitude,0.2,,,0.1,Kernel_Mag_0.2_0,139.31,2.081802103947443,100.0,0,105.14671754837036
k_learn1,Steer_05,Constant_1,1,,,,bTuning_k_learn1_Constant_1_1,147.15,2.6958301133417146,100.0,1,113.50575661659241
PaperTest,progress,Magnitude,1,,,0.1,Kernel_Continuous_6,83.35,4.58775544247947,100.0,6,122.35958051681519
PaperTest,distCent,,,1,,0.1,Baseline_reward_distCent_1_1,134.4591836734694,6.735783770807994,98.0,1,121.3728837966919
PaperTest,progress,Constant,1,,,0.1,Kernel_Const_1_0,118.81,8.121200650150199,100.0,0,105.53853130340576
reward,Steer_1,,,0,0,,bTuning_reward_Steer_1_1,122.41,7.155550293303793,100.0,1,109.52402448654175
PaperTest,progress,Magnitude,1,,,0.1,Kernel_Continuous_5,81.86,2.336749879640523,100.0,5,124.40562891960144
reward,Steer,,,0.1,0,,bTuning_reward_Steer_0.1_3,0.0,0.0,0.0,3,110.67453646659851
PaperTest,cthRef,,,0.04,,0.1,Baseline_reward_cthRef_0.04_4,57.38383838383838,3.6145247692073643,99.0,4,
PaperTest,progress,Constant,0.2,,,0.1,Kernel_Const_0.2_4,129.73,3.888071501400148,100.0,4,105.38151860237122
PaperTest,cthRef,,,0.04,,0.1,Baseline_reward_cthRef_0.04_3,74.0,6.3352658365958865,59.0,3,
PaperTest,progress,,,,,,RandoPictures,156.8,1.32664991614216,,0,
PaperTest,progress,Constant,0.7,,,0.1,Kernel_Const_0.7_3,126.24,5.892571594813253,100.0,3,106.23665428161621
PaperTest,progress,Magnitude,0.5,,,0.1,Kernel_Mag_0.5_0,121.61,4.3746885603434675,100.0,0,104.0123040676117
PaperTest,progress,,,,,0.1,MaxSteerPlanner,160.0,0.0,,0,
PaperTest,progress,Constant,0,,,0.1,Kernel_Const_0_4,162.0721649484536,1.9278074864339465,97.0,4,112.31152677536011
PaperTest,progress,,,,,0.08,RandoKernelTest_0.08,0.0,0.0,0.0,0,
reward,DistRef_1,,,1,0,,bTuning_reward_DistRef_1_1_2,137.43,4.040433145097194,100.0,2,110.87998080253601
